product_id;product_name;product_SKU;product_status;product_type;delivery_time
"5551";"Apple Watch Series 3 / GPS + LTE / Koperta 38mm z aluminium w kolorze srebrnym / Pasek sportowy w kolorze szarym mglistym";"FQKF2B/A";"Produkt niedostępny";"Apple Watch series 3";""
"5552";"Apple Watch Nike+ Series 3 / GPS + LTE / Koperta 38mm z aluminium w kolorze gwiezdnej szarości / Pasek sportowy Nike w kolorze antracytu/czarnym";"FQM82B/A";"Produkt niedostępny";"Apple Watch series 3";""
"5553";"Apple Watch Series 3 / GPS + LTE / Koperta 38mm ze stali nierdzewnej w kolorze srebrnym / Pasek sportowy w kolorze białym";"FQLV2B/A";"Produkt niedostępny";"Apple Watch series 3";""
"5554";"Apple Watch Series 3 / GPS + LTE / Koperta 38mm ze stali nierdzewnej w kolorze gwiezdnej czerni / Pasek sportowy w kolorze czarnym";"FQLW2B/A";"Na zamówienie";"Apple Watch series 3";"Wysyłka w 14-30 dni"
"5555";"Apple Watch Series 3 / GPS + LTE / Koperta 42mm z aluminium w kolorze srebrnym / Pasek sportowy w kolorze szarym mglistym";"FQKM2B/A";"Produkt niedostępny";"Apple Watch series 3";""
"5556";"Apple Watch Nike+ Series 3 / GPS + LTE / Koperta 42mm z aluminium w kolorze gwiezdnej szarości / Pasek sportowy Nike w kolorze antracytu/czarnym";"FQMF2B/A";"Produkt niedostępny";"Apple Watch series 3";""
"5557";"Apple Watch Series 3 / GPS + LTE / Koperta 42mm z aluminium w kolorze gwiezdnej szarości / Pasek sportowy w kolorze czarnym";"FQKN2B/A";"Produkt niedostępny";"Apple Watch series 3";""
"5558";"Apple Watch Series 3 / GPS + LTE / Koperta 42mm ze stali nierdzewnej w kolorze srebrnym / Pasek sportowy w kolorze białym";"FQLY2B/A";"Produkt niedostępny";"Apple Watch series 3";""
"5559";"Apple Watch Series 3 / GPS + LTE / Koperta 42mm ze stali nierdzewnej w kolorze gwiezdnej czerni / Pasek sportowy w kolorze czarnym";"FQM02B/A";"Produkt niedostępny";"Apple Watch series 3";""
"5560";"Apple Watch Nike+ Series 4 / GPS + LTE / Koperta 40mm z aluminium w kolorze gwiezdnej szarości / Pasek sportowy Nike w kolorze antracytu/czarnym";"FTXG2B/A";"Produkt niedostępny";"Apple Watch series 4";""
"5561";"Apple Watch Series 4 / GPS + LTE / Koperta 40mm ze stali nierdzewnej w kolorze srebrnym / Pasek sportowy w kolorze białym";"FTVJ2B/A";"Produkt niedostępny";"Apple Watch series 4";""
"5562";"Apple Watch Series 4 / GPS + LTE / Koperta 40mm ze stali nierdzewnej w kolorze gwiezdnej czerni / Pasek sportowy w kolorze czarnym";"FTVL2B/A";"Produkt niedostępny";"Apple Watch series 4";""
"5563";"Apple Watch Series 4 / GPS + LTE / Koperta 40mm ze stali nierdzewnej w kolorze złotym / Pasek sportowy w kolorze piaskowca";"FTVN2B/A";"Produkt niedostępny";"Apple Watch series 4";""
"5564";"Apple Watch Nike+ Series 4 / GPS + LTE / Koperta 44mm z aluminium w kolorze gwiezdnej szarości / Pasek sportowy Nike w kolorze antracytu/czarnym";"FTXM2B/A";"Produkt niedostępny";"Apple Watch series 4";""
"5565";"Apple Watch Series 4 / GPS + LTE / Koperta 44mm z aluminium w kolorze srebrnym / Pasek sportowy w kolorze białym";"FTVR2B/A";"Produkt niedostępny";"Apple Watch series 4";""
